Synthesis,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Woodward,NNC1=CC=CC=C1.O=C(C)C2=CC=C(OC)C(OC)=C2,COC1=CC(C2=CC3=CC=CC=C3N2)=CC=C1OC,COC1=CC(C2=C(CN(C)C)C3=CC=CC=C3N2)=CC=C1OC,COC1=CC(C2=C(C[N+](C)(C)C)C3=CC=CC=C3N2)=CC=C1OC,COC1=CC(C2=C(CC#N)C3=CC=CC=C3N2)=CC=C1OC,NCCC1=C(C2=CC=C(OC)C(OC)=C2)NC3=CC=CC=C31,COC1=CC(C2=C(CC/N=C/C(OCC)=O)C3=CC=CC=C3N2)=CC=C1OC,O=S(N(CC1)[C@H](C(OCC)=O)[C@]21C(C3=CC=C(OC)C(OC)=C3)=NC4=CC=CC=C42)(C5=CC=C(C)C=C5)=O,O=S(N(CC1)[C@H](C(OCC)=O)[C@]21[C@H](C3=CC=C(OC)C(OC)=C3)NC4=CC=CC=C42)(C5=CC=C(C)C=C5)=O,O=S(N(CC1)[C@H](C(OCC)=O)[C@]21[C@H](C3=CC=C(OC)C(OC)=C3)N(C4=CC=CC=C42)C(C)=O)(C5=CC=C(C)C=C5)=O,O=S(N(CC1)[C@H](C(OCC)=O)[C@]21[C@H](C(/C=C\C(OC)=O)=C/C(OC)=O)N(C3=CC=CC=C32)C(C)=O)(C4=CC=C(C)C=C4)=O,O=S(N(CC1)[C@H](C(OCC)=O)[C@@]1(C2=CC=CC=C2N34)C3=C(CC(OC)=O)C=CC4=O)(C5=CC=C(C)C=C5)=O,O=C1N2C3=CC=CC=C3[C@]4([C@@H](C(O)=O)NCC4)C2=C(CC(O)=O)C=C1,O=C1N2C3=CC=CC=C3[C@]4([C@@H](C(O)=O)N(CC4)C(C)=O)C2=C(CC(O)=O)C=C1,O=C1N2C3=CC=CC=C3[C@]4([C@@H](C(OC)=O)N(CC4)C(C)=O)C2=C(CC(OC)=O)C=C1,O=C1N2C3=CC=CC=C3[C@@]45C2=C(C(C(OC)=O)=C(O)[C@@H]4N(CC5)C(C)=O)C=C1,O=C1N2C3=CC=CC=C3[C@@]45C2=C(C(C(OC)=O)=C(OS(C6=CC=C(C)C=C6)(=O)=O)[C@@H]4N(CC5)C(C)=O)C=C1,O=C1N2C3=CC=CC=C3[C@@]45C2=C(C(C(OC)=O)=C(SCC6=CC=CC=C6)[C@@H]4N(CC5)C(C)=O)C=C1,O=C1N2C3=CC=CC=C3[C@@]45C2=C(C(C(OC)=O)=C[C@@H]4N(CC5)C(C)=O)C=C1,O=C1N2C3=CC=CC=C3[C@]4([C@H](C5)N(CC4)C(C)=O)C2=C([C@@H]5C(OC)=O)C=C1,O=C1N2C3=CC=CC=C3[C@]4([C@H](C5)N(CC4)C(C)=O)C2=C([C@H]5C(O)=O)C=C1,O=C1N2C3=CC=CC=C3[C@]4([C@H](C/5)N(CC4)C(C)=O)C2=C(C5=C(OC(C)=O)\C)C=C1,O=C1N2C3=CC=CC=C3[C@]4([C@H](C5)NCC4)C2=C(C5C(C)=O)C=C1,O=C1N2C3=CC=CC=C3[C@]4([C@H](C5)N6CC4)C2=C(C5C(C6=O)=O)C=C1,O=C1N2C3=CC=CC=C3[C@]4([C@H](C5)N6CC4)C2=C(C5[C@@](O)(C#C)C6=O)C=C1,O=C1N2C3=CC=CC=C3[C@]4([C@H](C5)N6CC4)C2=C(C5[C@@](O)(C=C)C6=O)C=C1,O=C1N2C3=CC=CC=C3[C@@]45[C@]2([H])C(C6[C@@](O)(C=C)CN(CC5)[C@H]4C6)=CC1,O=C1N2C3=CC=CC=C3[C@]4([C@H](C5)N6CC4)C2C(C5/C(C6)=C\COC(C)=O)=CC1,O=C1N2C3=CC=CC=C3[C@]4([C@H](C5)N6CC4)C2C(C5/C(C6)=C\CO)=CC1,O=C1N2C3=CC=CC=C3[C@]4([C@H](C5)N6CC4)C2C(C5C(C6)=CCO7)C7C1,,
Magnus ,O=C(C(N1CC2)(CCC1)C3=C2C4=CC=CC=C4N3)OC,ClC1(C(OC)=O)C2=C(CCN(C(OCC(Cl)(Cl)Cl)=O)CCC1)C3=CC=CC=C3N2,ClC(Cl)(Cl)COC(N(CC1)CC/C=C(C(OC)=O)\C2=C1C3=CC=CC=C3N2)=O,ClC(Cl)(Cl)COC(N(CC1)CC/C=C(C(OC)=O)\C2=C1C3=CC=CC=C3N2C(OC)=O)=O,O=C(/C1=C/CCNCCC2=C1N(C(OC)=O)C3=CC=CC=C32)OC,O=C(SC1=CC=CC=C1)N(CC2)CC/C=C(C(OC)=O)\C3=C2C4=CC=CC=C4N3C(OC)=O,O=C(S(C1=CC=CC=C1)=O)N(CC2)CC/C=C(C(OC)=O)\C3=C2C4=CC=CC=C4N3C(OC)=O,O=C(N(CC1)CC2)[C@@H]([S@@](C3=CC=CC=C3)=O)C1[C@H](C(OC)=O)C4=C2C5=CC=CC=C5N4C(OC)=O,O=C(N(CC1)CC2)C(OC(C)=O)(SC3=CC=CC=C3)C1[C@H](C(OC)=O)C4=C2C5=CC=CC=C5N4C(OC)=O,O=C(N1CCC2=C([C@@H](C(OC)=O)C3CC1)N(C(OC)=O)C4=CC=CC=C42)C3=O,O=C(N(CC1)CC2)C3(OCCO3)C1[C@H](C(OC)=O)C4=C2C5=CC=CC=C5N4C(OC)=O,O=C([C@@H]1C2=C(CCN3CC4(OCCO4)C1CC3)C5=CC=CC=C5N2C(OC)=O)OC,O=C([C@@H]1C2=C(CCN3CC4(OCCO4)C1CC3)C5=CC=CC=C5N2)OC,O=C(C1=C2NC3=CC=CC=C3C24C(N5CC4)CC1C6(C5)OCCO6)OC,O=C([C@@H]1C2NC3=CC=CC=C3C24C(N5CC4)CC1C6(C5)OCCO6)OC,O=C([C@H]1C2NC3=CC=CC=C3C24C(N5CC4)CC1C6(C5)OCCO6)OC,O=S(N1C2=CC=CC=C2C34C1[C@H](C(OC)=O)C(C5(C6)OCCO5)CC3N6CC4)(C7=CC=C(OC)C=C7)=O,O=S(N1C2=CC=CC=C2C34C1[C@H](CO)C(C5(C6)OCCO5)CC3N6CC4)(C7=CC=C(OC)C=C7)=O,O[C@@]1(C2)C3C(CO1)C4N(S(=O)(C5=CC=C(OC)C=C5)=O)C6=CC=CC=C6C47C(N2CC7)C3,O=C(C1)C2C(CO[Ti]P=S)C3N(S(=O)(C4=CC=C(OC)C=C4)=O)C5=CC=CC=C5C36C(N1CC6)C2,O=S(N1C2=CC=CC=C2C34C1C(CO[Ti]P=S)C(/C(C5)=C\C#N)CC3N5CC4)(C6=CC=C(OC)C=C6)=O,O=S(N1C2=CC=CC=C2C34C1C(CO[Ti]P=S)C(/C(C5)=C\C=O)CC3N5CC4)(C6=CC=C(OC)C=C6)=O,O=S(N1C2=CC=CC=C2C34C1C(CO[Ti]P=S)C(/C(C5)=C\CO)CC3N5CC4)(C6=CC=C(OC)C=C6)=O,O=S(N1C2=CC=CC=C2C34C1C(CO)C(/C(C5)=C\CO)CC3N5CC4)(C6=CC=C(OC)C=C6)=O,O=S(N1C2=CC=CC=C2C34C1C(CO)C(/C(C5)=C\CO[Si](C)(C)C(C)(C)C)CC3N5CC4)(C6=CC=C(OC)C=C6)=O,O=S(N1C2=CC=CC=C2C34C1C(C=O)C(/C(C5)=C\CO[Si](C)(C)C(C)(C)C)CC3N5CC4)(C6=CC=C(OC)C=C6)=O,O=S(N1C2=CC=CC=C2C34C1C(C(O)OCC=C5C6)C5CC3N6CC4)(C7=CC=C(OC)C=C7)=O,OC1C2C3NC4=CC=CC=C4C35C(N6CC5)CC2C(C6)=CCO1,O=C1N2C3=CC=CC=C3[C@]4(C(C5)N6CC4)[C@]2([H])[C@]([C@]5([H])C(C6)=CCO7)([H])C7C1,,,
Kuehne,NCCC1=CNC2=C1C=CC=C2,C1(NC=C2CCN(CC3=CC=CC=C3)CC4=CC=CC=C4)=C2C=CC=C1,ClC1(CCN(CC2=CC=CC=C2)CC3=CC=CC=C3)C=NC4=C1C=CC=C4,O=C(C(C(OC)=O)C1=C(CCN(CC2=CC=CC=C2)CC3=CC=CC=C3)C4=C(N1)C=CC=C4)OC,O=C(CC1=C(CCN(CC2=CC=CC=C2)CC3=CC=CC=C3)C4=C(N1)C=CC=C4)OC,O=C(CC1=C(CCNCC2=CC=CC=C2)C3=C(N1)C=CC=C3)OC,O=C(C1=C([C@@]2(CCN3CC4=CC=CC=C4)[C@@H]3C[C@H]1C(OC)OC)NC5=C2C=CC=C5)OC,O=C(C1=C([C@@]2(CCN3CC4=CC=CC=C4)[C@@H]3C[C@H]1C=O)NC5=C2C=CC=C5)OC,O[C@@H]1C2C(C(OC)=O)=C([C@@]34[C@@H](N(C1)CC4)C2)NC5=C3C=CC=C5,O[C@@H]1C2[C@@H](C(OC)=O)[C@]([C@@]34[C@@H](N(C1)CC4)C2)([H])NC5=C3C=CC=C5,[H][C@]1([C@@]23[C@@H](N4CC3)CC([C@@H](OC(C)=O)C4)C1C(OC)=O)N(C5=C2C=CC=C5)C(C)=O,O[C@@H]1[C@@]2([H])[C@](C3=O)([H])[C@]([C@@]45[C@@H](N(C1)CC5)C2)([H])N(C(C3)=O)C6=C4C=CC=C6,O[C@@H]1[C@@]2([H])[C@](C(O)CC3=O)([H])[C@]([C@@]45[C@@H](N(C1)CC5)C2)([H])N3C6=C4C=CC=C6,[H][C@]1([C@@]23[C@@H](N4CC3)C[C@]([C@@H](OC(C)=O)C4)([H])[C@@]1([H])C(OC(C)=O)CC5=O)N5C6=C2C=CC=C6,O[C@@H]1[C@@]2([H])C3=CCC(N([C@]3([H])[C@@]45[C@@H](N(C1)CC5)C2)C6=C4C=CC=C6)=O,O=C1[C@@]2([H])C3=CCC(N([C@]3([H])[C@@]45[C@@H](N(C1)CC5)C2)C6=C4C=CC=C6)=O,[H][C@]1([C@@]23[C@@H](N(C/4)CC3)C[C@](C4=C/C(OC)=O)([H])C1=CCC5=O)N5C6=C2C=CC=C6,[H][C@]1([C@@]23[C@@H](N(C/4)CC3)C[C@](C4=C/CO)([H])C1=CCC5=O)N5C6=C2C=CC=C6,O=C1N2C3=CC=CC=C3[C@]4(C(C5)N6CC4)[C@]2([H])[C@]([C@]5([H])C(C6)=CCO7)([H])C7C1,,,,,,,,,,,,,
Overman ,O=C(OC1C=C[C@H](OC(C)=O)C1)OC,O=C(COC(C)(C)C)C(C(OC)=O)C1C=C[C@H](OC(C)=O)C1,O[C@@H](COC(C)(C)C)[C@@H](C(OC)=O)C1C=C[C@H](OC(C)=O)C1,O=C(O[C@@H]1C[C@H](/C(C(OC)=O)=C\COC(C)(C)C)C=C1)C,O[C@@H]1C[C@H](/C(CO)=C\COC(C)(C)C)C=C1,O[C@@H]1C[C@H](/C(CO[Si](C(C)C)(C(C)C)C(C)C)=C\COC(C)(C)C)C=C1,O=C1C[C@H](/C(CO[Si](C(C)C)(C(C)C)C(C)C)=C\COC(C)(C)C)C=C1,O=S(OC1=CC[C@@H](/C(CO[Si](C(C)C)(C(C)C)C(C)C)=C\COC(C)(C)C)C1)(C(F)(F)F)=O,CCCC[Sn](C1=CC[C@@H](/C(CO[Si](C(C)C)(C(C)C)C(C)C)=C\COC(C)(C)C)C1)(CCCC)CCCC,O=C(C1=CC=CC=C1N2CN(C)C(N(C)C2)=O)C3=CC[C@@H](/C(CO[Si](C(C)C)(C(C)C)C(C)C)=C\COC(C)(C)C)C3,O=C(C1=CC=CC=C1N2CN(C)C(N(C)C2)=O)[C@]34C[C@H](/C(CO[Si](C(C)C)(C(C)C)C(C)C)=C\COC(C)(C)C)C[C@@H]3O4,C=C(C1=CC=CC=C1N2CN(C)C(N(C)C2)=O)[C@]34C[C@H](/C(CO[Si](C(C)C)(C(C)C)C(C)C)=C\COC(C)(C)C)C[C@@H]3O4,OC/C([C@@H]1C[C@H]2[C@@](C(C3=CC=CC=C3N4CN(C)C(N(C)C4)=O)=C)(O2)C1)=C/COC(C)(C)C,C=C(C1=CC=CC=C1N2CN(C)C(N(C)C2)=O)[C@]34C[C@H](/C(COS(C)(=O)=O)=C\COC(C)(C)C)C[C@@H]3O4,ClC/C([C@@H]1C[C@H]2[C@@](C(C3=CC=CC=C3N4CN(C)C(N(C)C4)=O)=C)(O2)C1)=C/COC(C)(C)C,C=C(C1=CC=CC=C1N2CN(C)C(N(C)C2)=O)[C@]34C[C@H](/C(CNC(C(F)(F)F)=O)=C\COC(C)(C)C)C[C@@H]3O4,C=C(C1=CC=CC=C1N2CN(C)C(N(C)C2)=O)[C@@]3(O)[C@H](C4)N(C(C(F)(F)F)=O)C/C([C@H]4C3)=C/COC(C)(C)C,C=C(C1=CC=CC=C1N2CN(C)C(N(C)C2)=O)[C@@]3(O)[C@H](C4)NC/C([C@H]4C3)=C/COC(C)(C)C,O=C(N(C)C1)N(C)CN1C2=CC=CC=C2C3(C(CC(/C(C4)=C\COC(C)(C)C)C5)=O)C5N4CC3,O=C(N(C)C1)N(C)CN1C2=CC=CC=C2C3(C(C(C(OC)=O)C(/C(C4)=C\COC(C)(C)C)C5)=O)C5N4CC3,OC/C=C1C2C(C(OC)=O)=C3NC4=CC=CC=C4[C@]35[C@@H](N(C\1)CC5)C2,OC/C=C1C2C(C(OC)=O)C3NC4=CC=CC=C4[C@]35[C@@H](N(C\1)CC5)C2,OC/C=C1C2[C@@H](C(OC)=O)C3NC4=CC=CC=C4[C@]35[C@@H](N(C\1)CC5)C2,O[C@H]1C2C3NC4=CC=CC=C4[C@]35[C@@H](N(C6)CC5)CC2C6=CCO1,O=C1N2C3=CC=CC=C3[C@]4(C(C5)N6CC4)[C@]2([H])[C@]([C@]5([H])C(C6)=CCO7)([H])C7C1,,,,,,,
Kuehne,NCCC1=CNC2=C1C=CC=C2,O=C([C@@H](NCC1=CC=CC=C1)CC2=CNC3=C2C=CC=C3)OC,O=C([C@@H](N(C(OC(C)(C)C)=O)CC1=CC=CC=C1)CC2=CNC3=C2C=CC=C3)OC,O=C([C@@H](N(C(OC(C)(C)C)=O)CC1=CC=CC=C1)CC2=C(C(C(OC)=O)C(OC)=O)NC3=C2C=CC=C3)OC,O=C([C@@H](N(C(OC(C)(C)C)=O)CC1=CC=CC=C1)CC2=C(CC(OC)=O)NC3=C2C=CC=C3)OC,COOC[C@@H](NCC1=CC=CC=C1)CC2=C(CC(OC)=O)NC3=C2C=CC=C3,O=C(C1=C([C@@]2(C[C@@H](C(OC)=O)N3CC4=CC=CC=C4)[C@@H]3C[C@H]1/C=C/C)NC5=C2C=CC=C5)OC,O=C(N)[C@H]1N([C@H]2C[C@@H](/C=C/C)C(C(OC)=O)=C([C@]32C1)NC4=C3C=CC=C4)CC5=CC=CC=C5,O=C(C1=C([C@@]2(C[C@@H](C#N)N3CC4=CC=CC=C4)[C@@H]3C[C@H]1/C=C/C)NC5=C2C=CC=C5)OC,O=C(C1=C([C@@]2(CCN3CC4=CC=CC=C4)[C@@H]3C[C@H]1/C=C/C)NC5=C2C=CC=C5)OC,O=C(C1=C([C@@]2(CCN3CC4=CC=CC=C4)[C@@H]3C[C@H]1C=O)NC5=C2C=CC=C5)OC,OC(COCC)C1C(C(OC)=O)=C([C@@]2(CCN3CC4=CC=CC=C4)[C@@H]3C1)NC5=C2C=CC=C5,O=C(COCC)C1C(C(OC)=O)=C([C@@]2(CCN3CC4=CC=CC=C4)[C@@H]3C1)NC5=C2C=CC=C5,O=C(CO)C1C(C(OC)=O)=C([C@@]2(CCN3CC4=CC=CC=C4)[C@@H]3C1)NC5=C2C=CC=C5,O=C1[C@@]2([H])C(C(OC)=O)=C([C@@]3(CC[N+]4(C1)CC5=CC=CC=C5)[C@@H]4C2)NC6=C3C=CC=C6,O=C1[C@@]2([H])C(C(OC)=O)=C([C@@]34[C@@H](N(C1)CC4)C2)NC5=C3C=CC=C5,[H][C@]1(/C2=C\C(OC)=O)C(C(OC)=O)=C([C@@]34[C@@H](N(C2)CC4)C1)NC5=C3C=CC=C5,[H][C@]1(/C2=C\CO)C(C(OC)=O)=C([C@@]34[C@@H](N(C2)CC4)C1)NC5=C3C=CC=C5,[H][C@]1(/C2=C\CO)C(C(OC)=O)[C@]([C@@]34[C@@H](N(C2)CC4)C1)([H])NC5=C3C=CC=C5,[H][C@]1(/C2=C\CO)[C@@H](C(OC)=O)[C@]([C@@]34[C@@H](N(C2)CC4)C1)([H])NC5=C3C=CC=C5,O[C@H]1C2[C@]3([H])NC4=CC=CC=C4[C@]35[C@@H](N(C6)CC5)CC2C6=CCO1,O=C1N2C3=CC=CC=C3[C@]4(C(C5)N6CC4)[C@]2([H])[C@]([C@]5([H])C(C6)=CCO7)([H])C7C1,,,,,,,,,,
Rawal,O=C/C(CCC(OC)=O)=C/C.NC1=CC=CC=C1C2=CN(C(OC)=O)CC2,C=C/C(CCC(OC)=O)=C/N(C(OC)=O)C1=CC=CC=C1C2=CN(C(OC)=O)CC2,[H][C@@]12N(C(OC)=O)C3=CC=CC=C3[C@]14[C@@H](N(C(OC)=O)CC4)CC=C2CCC(OC)=O,[H][C@@]12N3C4=CC=CC=C4[C@]15[C@@H](NCC5)CC=C2CCC3=O,I/C(CN1[C@H]2CC=C(CCC3=O)[C@]4([H])N3C5=CC=CC=C5[C@@]42CC1)=C\CO[Si](C)(C)C(C)(C)C,[H][C@@]12N3C4=CC=CC=C4[C@]15[C@@H](N(CC5)C/C6=C/CO[Si](C)(C)C(C)(C)C)CC6C2=CCC3=O,[H][C@@]12N3C4=CC=CC=C4[C@]15[C@@H](N(CC5)C/C6=C/CO)CC6C2=CCC3=O,O=C1N2C3=CC=CC=C3[C@]4(C(C5)N6CC4)[C@]2([H])[C@]([C@]5([H])C(C6)=CCO7)([H])C7C1,,,,,,,,,,,,,,,,,,,,,,,,
Bosch,O=C1CCCC(C1(CC=C)C2=C([N+]([O-])=O)C=CC=C2)=O,O=C1CCCC(C1(CC2OOCO2)C3=C([N+]([O-])=O)C=CC=C3)=O.N[C@H](C4=CC=CC=C4)C,O=C(CCC[C@@H]1N([C@@H](C)C2=CC=CC=C2)CC3)[C@]13C4=C([N+]([O-])=O)C=CC=C4,O=C(CCC[C@@H]1N(C(OC(C)C)=O)CC2)[C@]12C3=C([N+]([O-])=O)C=CC=C3,O=C(OC(C)C)N(CC1)[C@H]2CCC=C(O[Si](C)(C)C)[C@]21C3=C([N+]([O-])=O)C=CC=C3,O=C(C([Se]C1=CC=CC=C1)CC[C@@H]2N(C(OC(C)C)=O)CC3)[C@]23C4=C([N+]([O-])=O)C=CC=C4,O=C(C=CC[C@@H]1N(C(OC(C)C)=O)CC2)[C@]12C3=C([N+]([O-])=O)C=CC=C3,O=C(C=CC[C@@H]1NCC2)[C@]12C3=C([N+]([O-])=O)C=CC=C3,O=C(C=CC[C@@H]1N(C/C(I)=C/CO[Si](C)(C)C(C)(C)C)CC2)[C@]12C3=C([N+]([O-])=O)C=CC=C3,O=C(C[C@@]1([H])C[C@@H]2N(C/C1=C/CO)CC3)[C@]23C4=C([N+]([O-])=O)C=CC=C4,O=C(C(C(OC)=O)[C@@]1([H])C[C@@H]2N(C/C1=C/CO)CC3)[C@]23C4=C([N+]([O-])=O)C=CC=C4,[H][C@@]1([C@]([C@]2([H])/C(C3)=C\CO)([H])C(OC)=O)NC4=CC=CC=C4[C@]15[C@H](C2)N3CC5,[H][C@@]1([C@]([C@]2([H])/C(C3)=C\CO)([H])C(OC)=O)NC4=CC=CC=C4[C@]15[C@H](C2)N3CC5,O[C@H]1[C@@]([C@]2([H])C(C3)=CCO1)([H])[C@]4([H])NC5=CC=CC=C5[C@]46[C@H](C2)N3CC6,O=C1N2C3=CC=CC=C3[C@]4([C@H](C5)N6CC4)[C@]2([H])[C@]([C@]5([H])C(C6)=CCO7)([H])C7C1,,,,,,,,,,,,,,,,,
Volhardt,I/C=C\C(O)=O,I/C=C\C(OCOCCOC)=O,O=C(OCOCCOC)/C=C\C#C[Si](C)(C)C,OC(/C=C\C#C[Si](C)(C)C)=O,ClC(/C=C\C#C[Si](C)(C)C)=O,O=C(/C=C\C#C)N(C=C1CCNC(C)=O)C2=C1C=CC=C2,O=C1N(C2[C@@]3(CCNC(C)=O)C=CC=C2C=C1)C4=C3C=CC=C4,O=C1N(C2[C@@]3(CCN)C=CC=C2C=C1)C4=C3C=CC=C4,O=C1N(C2C34C(NCC4)C=CC2=CC1)C5=C3C=CC=C5,O=C1N(C2C34C(N(C/C(I)=C/CO[Si](C)(C)C(C)(C)C)CC4)C=CC2=CC1)C5=C3C=CC=C5,O=C1N(C2C34C(N(C/C(I)=C/CO[Si](C)(C)C(C)(C)C)CC4)CC=C2C=C1)C5=C3C=CC=C5,O=C1N(C2C34C(N(C/C5=C\CO[Si](C)(C)C(C)(C)C)CC4)CC5=C2C=C1)C6=C3C=CC=C6,O=C1N(C2C34C(N(C/C5=C\CO)CC4)CC5=C2C=C1)C6=C3C=CC=C6,O=C1N2C3=CC=CC=C3[C@]4(C(C5)N6CC4)[C@]2([H])[C@]([C@]5([H])C(C6)=CCO7)([H])C7C1,,,,,,,,,,,,,,,,,,
Martin,C1(NC2C3CCN=C2)=C3C=CC=C1,O=C(/C=C/COCC1=CC=CC=C1)N(CC2)C(C/C=C/C=O)C3=C2C4=C(N3)C=CC=C4,O=C([C@@]1([H])[C@H](COCC2=CC=CC=C2)OC=C[C@@]1([H])C3)N(CC4)[C@]3([H])C5=C4C6=C(N5)C=CC=C6,O=C([C@@]1([H])[C@H](COCC2=CC=CC=C2)OC(O)C[C@@]1([H])C3)N(CC4)[C@]3([H])C5=C4C6=C(N5)C=CC=C6,O=C([C@@]1([H])[C@H](COCC2=CC=CC=C2)OC3=O)N(CC4)[C@](C[C@]1([H])C3)([H])C5=C4C6=C(N5)C=CC=C6,O=C([C@@]1([H])[C@H](CO)OC2=O)N(CC3)[C@](C[C@]1([H])C2)([H])C4=C3C5=C(N4)C=CC=C5,O=C(/C1=C/CO)N(CC2)[C@](CC1CC(OC)=O)([H])C3=C2C4=C(N3)C=CC=C4,O=C(/C1=C/CO[Si](C)(C)C(C)(C)C)N(CC2)[C@](CC1CC(OC)=O)([H])C3=C2C4=C(N3)C=CC=C4,[H][C@](N(C/C1=C/CO[Si](C)(C)C(C)(C)C)CC2)(CC1CC(OC)=O)C3=C2C4=C(N3)C=CC=C4,[H][C@]1(CC/2CC(OC)=O)C(C3(Cl)CCN1CC2=C\CO[Si](C)(C)C(C)(C)C)=NC4=C3C=CC=C4,C[Si](OC/C=C1C2C(C(OC)=O)=C3NC4=CC=CC=C4[C@]35[C@@H](N(C\1)CC5)C2)(C)C(C)(C)C,OC/C=C1C2C(C(OC)=O)=C3NC4=CC=CC=C4[C@]35[C@@H](N(C\1)CC5)C2,OC/C=C1C2C(C(OC)=O)[C@]3([H])NC4=CC=CC=C4[C@]35[C@@H](N(C\1)CC5)C2,OC/C=C1C2[C@@H](C(OC)=O)[C@]3([H])NC4=CC=CC=C4[C@]35[C@@H](N(C\1)CC5)C2,O[C@H]1C2C3NC4=CC=CC=C4[C@]35[C@@H](N(C6)CC5)CC2C6=CCO1,O=C1N2C3=CC=CC=C3[C@]4(C(C5)N6CC4)[C@]2([H])[C@]([C@]5([H])C(C6)=CCO7)([H])C7C1,,,,,,,,,,,,,,,,
Bodwell,NCCC1CNC2=C1C=CC=C2.IC3=CC=C(I)N=N3,IC(C=C1)=NN=C1NCCC2CNC3=C2C=CC=C3,IC(C=C1)=NN=C1NCCC2CN(CC=C)C3=C2C=CC=C3,C1(N(CCC2)CC3CCNC4=NN=C2C=C4)=C3C=CC=C1,O=C(N1CCC2CN(CCCC3=NN=C1C=C3)C4=C2C=CC=C4)OC,[H][C@@]12N3C4=CC=CC=C4[C@]15C(N(C(OC)=O)CC5)=CC=C2CCC3,[H][C@@]1(C(CCC2)=CC3)N2C4=CC=CC=C4[C@]15[C@H]3N(C(OC)=O)CC5,[H][C@@]1(C(CCC2=O)=CC3)N2C4=CC=CC=C4[C@]15[C@H]3N(C(OC)=O)CC5,[H][C@@]1(C(CCC2=O)=CC3)N2C4=CC=CC=C4[C@]15[C@H]3NCC5,I/C(CN1[C@H]2CC=C(CCC3=O)[C@]4([H])N3C5=CC=CC=C5[C@@]42CC1)=C\CO[Si](C)(C)C(C)(C)C,[H][C@@]12N3C4=CC=CC=C4[C@]15[C@@H](N(CC5)C/C6=C/CO[Si](C)(C)C(C)(C)C)CC6C2=CCC3=O,[H][C@@]12N3C4=CC=CC=C4[C@]15[C@@H](N(CC5)C/C6=C/CO)CC6C2=CCC3=O,O=C1N2C3=CC=CC=C3[C@]4(C(C5)N6CC4)[C@]2([H])[C@]([C@]5([H])C(C6)=CCO7)([H])C7C1,,,,,,,,,,,,,,,,,,,
